planning_time,initial_cost,initial_controls,final_cost,final_controls,fusion_time,cost_improvement
1.0,3.72408571193891,6,2.8252321947082173,1,9.752971887588501,0.8988535172306928
2.0,3.860748392637915,7,2.718284354480136,1,15.261785507202148,1.142464038157779
3.0,2.6672979506412067,7,2.5433067715555095,1,16.934710264205933,0.12399117908569712
4.0,3.203026438234717,6,2.971420425210665,1,15.87621021270752,0.23160601302405182
5.0,2.52458810594218,6,2.52458810594218,1,16.933866262435913,0.0
6.0,3.0079127489457345,7,2.735962008222244,1,20.796381950378418,0.27195074072349046
7.0,2.8531426332380896,7,2.511382126947901,1,22.05414319038391,0.3417605062901887
8.0,2.832845774729853,7,2.7186353913898125,1,21.064979076385498,0.11421038334004052
9.0,2.626662171365112,5,2.297753631074757,1,22.213629961013794,0.3289085402903549
10.0,2.6117449834145527,5,2.490305791804121,1,19.61862587928772,0.1214391916104316
